"","Var1","Var2","form"
"1","aute","Infinitif.Present","X-e"
"2","Ete","Infinitif.Present","X-E.[3E]-e"
"3","fwiR","Infinitif.Present","X-R"
"4","abatR","Infinitif.Present","X-tR"
"5","A~bYe","Infinitif.Present","X-Y.[yY]-e"
"6","Able","Infinitif.Present","X-e"
"7","ablye","Infinitif.Present","X-e"
"8","A~bReje","Infinitif.Present","X-e.[3e]-e"
"9","abReZe","Infinitif.Present","X-e.[3e]-e"
"10","abwaje","Infinitif.Present","X-je"
"11","A~bwaR","Infinitif.Present","X-w.[wy]-aR"
"12","A~bwe","Infinitif.Present","X-w.[uw]-e"
"13","A~d0RmiR","Infinitif.Present","X-miR"
"14","A~dYiR","Infinitif.Present","X-R"
"15","adZw3~dR","Infinitif.Present","X-3.[3a]-~.[~N]-dR"
"16","A~fYiR","Infinitif.Present","X-R"
"17","afilje","Infinitif.Present","X-j.[ij]-e"
"18","A~fjevRe","Infinitif.Present","X-e.[3e]-e"
"19","A~fR3~dR","Infinitif.Present","X-~.[~N]-dR"
"20","agRee","Infinitif.Present","X-e"
"21","aiR","Infinitif.Present","X-a.[3a]-iR"
"22","akeRiR","Infinitif.Present","X-eRiR"
"23","ak6jiR","Infinitif.Present","X-iR"
"24","akRwatR.1","Infinitif.Present","X-w.[wy]-atR"
"25","akuRiR","Infinitif.Present","X-iR"
"26","ale.1","Infinitif.Present","X-a.[aiv]-le"
"27","apaR3tR","Infinitif.Present","X-3.[3y]-tR"
"28","apA~dR","Infinitif.Present","X-dR"
"29","apaRtEniR","Infinitif.Present","X-E.[3Ej]-n.[~3n]-iR"
"30","ap3RsEvwaR","Infinitif.Present","X-E.[Ewy]-vwaR"
"31","apRA~dR","Infinitif.Present","X-A~dR"
"32","apR0pRije","Infinitif.Present","X-je"
"33","asA~tiR","Infinitif.Present","X-tiR"
"34","asizEle","Infinitif.Present","X-E.[3El]-l.[3l]-e"
"35","aswaR.1","Infinitif.Present","X-waR"
"36","atniR","Infinitif.Present","X-n.[3jn]-iR"
"37","A~tREm3tR","Infinitif.Present","X-3.[3i]-tR"
"38","A~tREvwaR","Infinitif.Present","X-waR"
"39","A~tRuvRiR","Infinitif.Present","X-R.[3R]-iR"
"40","A~vwaje","Infinitif.Present","X-w.[3w]-a.[aR]-je"
"41","apstR3R","Infinitif.Present","X-R"
"42","apsudR","Infinitif.Present","X-u.[0u]-dR"
"43","aSve","Infinitif.Present","X-v.[3v]-e"
"44","A~sYivR","Infinitif.Present","X-vR"
"45","bujiR","Infinitif.Present","X-jiR"
"46","dediR","Infinitif.Present","X-R"
"47","defajiR","Infinitif.Present","X-iR"
"48","def3R","Infinitif.Present","X-3R"
"49","dekRiR","Infinitif.Present","X-R"
"50","dekudR","Infinitif.Present","X-dR"
"51","denwajote","Infinitif.Present","X-o.[0o]-e"
"52","depl3R","Infinitif.Present","X-3.[3ay]-R"
"53","depuRvwaR","Infinitif.Present","X-w.[wy]-aR"
"54","des3RviR","Infinitif.Present","X-viR"
"55","dev3tiR","Infinitif.Present","X-tiR"
"56","diR","Infinitif.Present","X-R"
"57","ekivalwar","Infinitif.Present","X-a.[ao]-lwar"
"58","3~klyR","Infinitif.Present","X-R"
"59","eliR","Infinitif.Present","X-i.[iy]-R"
"60","emuvwaR","Infinitif.Present","X-uvwaR"
"61","emudR","Infinitif.Present","X-dR"
"62","3~teR0~pR","Infinitif.Present","X-pR"
"63","3tR","Infinitif.Present","3tR"
"64","fajiR","Infinitif.Present","X-a.[ao]-jiR"
"65","fazeje","Infinitif.Present","X-e.[3e]-e"
"66","futR","Infinitif.Present","X-tR"
"67","k0~v3~kR","Infinitif.Present","X-R"
